site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p90	p95	p99
09073720	ALL	19800520	20110930	1170	15.56	25.23	0.00	103.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.20	6.01	16.00	26.00	35.00	59.00	73.00	90.58
09073720	0101	19830101	19830101	1	0.00		0.00	0.00											0.00									
09073720	0102	19830102	19830102	1	0.00		0.00	0.00											0.00									
09073720	0103	19830103	19830103	1	0.00		0.00	0.00											0.00									
09073720	0104	19830104	19830104	1	0.00		0.00	0.00											0.00									
09073720	0105	19830105	19830105	1	0.00		0.00	0.00											0.00									
09073720	0106	19830106	19830106	1	0.00		0.00	0.00											0.00									
09073720	0107	19830107	19830107	1	0.00		0.00	0.00											0.00									
09073720	0108	19830108	19830108	1	0.00		0.00	0.00											0.00									
09073720	0109	19830109	19830109	1	0.00		0.00	0.00											0.00									
09073720	0110	19830110	19830110	1	0.00		0.00	0.00											0.00									
09073720	0111	19830111	19830111	1	0.00		0.00	0.00											0.00									
09073720	0112	19830112	19830112	1	0.00		0.00	0.00											0.00									
09073720	0113	19830113	19830113	1	0.00		0.00	0.00											0.00									
09073720	0114	19830114	19830114	1	0.00		0.00	0.00											0.00									
09073720	0115	19830115	19830115	1	0.00		0.00	0.00											0.00									
09073720	0116	19830116	19830116	1	0.00		0.00	0.00											0.00									
09073720	0117	19830117	19830117	1	0.00		0.00	0.00											0.00									
09073720	0118	19830118	19830118	1	0.00		0.00	0.00											0.00									
09073720	0119	19830119	19830119	1	0.00		0.00	0.00											0.00									
09073720	0120	19830120	19830120	1	0.00		0.00	0.00											0.00									
09073720	0121	19830121	19830121	1	0.00		0.00	0.00											0.00									
09073720	0122	19830122	19830122	1	0.00		0.00	0.00											0.00									
09073720	0123	19830123	19830123	1	0.00		0.00	0.00											0.00									
09073720	0124	19830124	19830124	1	0.00		0.00	0.00											0.00									
09073720	0125	19830125	19830125	1	0.00		0.00	0.00											0.00									
09073720	0126	19830126	19830126	1	0.00		0.00	0.00											0.00									
09073720	0127	19830127	19830127	1	0.00		0.00	0.00											0.00									
09073720	0128	19830128	19830128	1	0.00		0.00	0.00											0.00									
09073720	0129	19830129	19830129	1	0.00		0.00	0.00											0.00									
09073720	0130	19830130	19830130	1	0.00		0.00	0.00											0.00									
09073720	0131	19830131	19830131	1	0.00		0.00	0.00											0.00									
09073720	0201	19830201	19830201	1	0.00		0.00	0.00											0.00									
09073720	0202	19830202	19830202	1	0.00		0.00	0.00											0.00									
09073720	0203	19830203	19830203	1	0.00		0.00	0.00											0.00									
09073720	0204	19830204	19830204	1	0.00		0.00	0.00											0.00									
09073720	0205	19830205	19830205	1	0.00		0.00	0.00											0.00									
09073720	0206	19830206	19830206	1	0.00		0.00	0.00											0.00									
09073720	0207	19830207	19830207	1	0.00		0.00	0.00											0.00									
09073720	0208	19830208	19830208	1	0.00		0.00	0.00											0.00									
09073720	0209	19830209	19830209	1	0.00		0.00	0.00											0.00									
09073720	0210	19830210	19830210	1	0.00		0.00	0.00											0.00									
09073720	0211	19830211	19830211	1	0.00		0.00	0.00											0.00									
09073720	0212	19830212	19830212	1	0.00		0.00	0.00											0.00									
09073720	0213	19830213	19830213	1	0.00		0.00	0.00											0.00									
09073720	0214	19830214	19830214	1	0.00		0.00	0.00											0.00									
09073720	0215	19830215	19830215	1	0.00		0.00	0.00											0.00									
09073720	0216	19830216	19830216	1	0.00		0.00	0.00											0.00									
09073720	0217	19830217	19830217	1	0.00		0.00	0.00											0.00									
09073720	0218	19830218	19830218	1	0.00		0.00	0.00											0.00									
09073720	0219	19830219	19830219	1	0.00		0.00	0.00											0.00									
09073720	0220	19830220	19830220	1	0.00		0.00	0.00											0.00									
09073720	0221	19830221	19830221	1	0.00		0.00	0.00											0.00									
09073720	0222	19830222	19830222	1	0.00		0.00	0.00											0.00									
09073720	0223	19830223	19830223	1	0.00		0.00	0.00											0.00									
09073720	0224	19830224	19830224	1	0.00		0.00	0.00											0.00									
09073720	0225	19830225	19830225	1	0.00		0.00	0.00											0.00									
09073720	0226	19830226	19830226	1	0.00		0.00	0.00											0.00									
09073720	0227	19830227	19830227	1	0.00		0.00	0.00											0.00									
09073720	0228	19830228	19830228	1	0.00		0.00	0.00											0.00									
09073720	0301	19830301	19830301	1	0.00		0.00	0.00											0.00									
09073720	0302	19830302	19830302	1	0.00		0.00	0.00											0.00									
09073720	0303	19830303	19830303	1	0.00		0.00	0.00											0.00									
09073720	0304	19830304	19830304	1	0.00		0.00	0.00											0.00									
09073720	0305	19830305	19830305	1	0.00		0.00	0.00											0.00									
09073720	0306	19830306	19830306	1	0.00		0.00	0.00											0.00									
09073720	0307	19830307	19830307	1	0.00		0.00	0.00											0.00									
09073720	0308	19830308	19830308	1	0.00		0.00	0.00											0.00									
09073720	0309	19830309	19830309	1	0.00		0.00	0.00											0.00									
09073720	0310	19830310	19830310	1	0.00		0.00	0.00											0.00									
09073720	0311	19830311	19830311	1	0.00		0.00	0.00											0.00									
09073720	0312	19830312	19830312	1	0.00		0.00	0.00											0.00									
09073720	0313	19830313	19830313	1	0.00		0.00	0.00											0.00									
09073720	0314	19830314	19830314	1	0.00		0.00	0.00											0.00									
