site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
09415645	ALL	20110708	20131021	837	18.00	1.62	13.00	21.00	13.00	14.00	16.00	16.00	17.00	17.00	18.00	18.00	18.00	18.00	18.00	19.00	19.00	19.00	19.00	19.00	19.00	19.00	20.00	20.00	20.00
09415645	0101	20120101	20130101	2	17.00		17.00	17.00								17.00	17.00	17.00	17.00	17.00	17.00	17.00							
09415645	0102	20120102	20130102	2	17.00		17.00	17.00								17.00	17.00	17.00	17.00	17.00	17.00	17.00							
09415645	0103	20120103	20130103	2	17.00		17.00	17.00								17.00	17.00	17.00	17.00	17.00	17.00	17.00							
09415645	0104	20120104	20130104	2	17.00		17.00	17.00								17.00	17.00	17.00	17.00	17.00	17.00	17.00							
09415645	0105	20120105	20130105	2	17.00		17.00	17.00								17.00	17.00	17.00	17.00	17.00	17.00	17.00							
09415645	0106	20120106	20130106	2	17.50	0.71	17.00	18.00								17.05	17.20	17.35	17.50	17.65	17.80	17.95							
09415645	0107	20120107	20130107	2	17.50	0.71	17.00	18.00								17.05	17.20	17.35	17.50	17.65	17.80	17.95							
09415645	0108	20120108	20130108	2	17.50	0.71	17.00	18.00								17.05	17.20	17.35	17.50	17.65	17.80	17.95							
09415645	0109	20120109	20130109	2	17.50	0.71	17.00	18.00								17.05	17.20	17.35	17.50	17.65	17.80	17.95							
09415645	0110	20120110	20130110	2	18.00	1.41	17.00	19.00								17.10	17.40	17.70	18.00	18.30	18.60	18.90							
09415645	0111	20120111	20130111	2	17.50	2.12	16.00	19.00								16.15	16.60	17.05	17.50	17.95	18.40	18.85							
09415645	0112	20120112	20130112	2	17.50	2.12	16.00	19.00								16.15	16.60	17.05	17.50	17.95	18.40	18.85							
09415645	0113	20120113	20130113	2	17.50	2.12	16.00	19.00								16.15	16.60	17.05	17.50	17.95	18.40	18.85							
09415645	0114	20120114	20130114	2	17.50	2.12	16.00	19.00								16.15	16.60	17.05	17.50	17.95	18.40	18.85							
09415645	0115	20120115	20130115	2	17.50	2.12	16.00	19.00								16.15	16.60	17.05	17.50	17.95	18.40	18.85							
09415645	0116	20120116	20130116	2	17.50	2.12	16.00	19.00								16.15	16.60	17.05	17.50	17.95	18.40	18.85							
09415645	0117	20120117	20130117	2	17.00	2.83	15.00	19.00								15.20	15.80	16.40	17.00	17.60	18.20	18.80							
09415645	0118	20120118	20130118	2	17.00	2.83	15.00	19.00								15.20	15.80	16.40	17.00	17.60	18.20	18.80							
09415645	0119	20120119	20130119	2	17.00	2.83	15.00	19.00								15.20	15.80	16.40	17.00	17.60	18.20	18.80							
09415645	0120	20120120	20130120	2	17.00	2.83	15.00	19.00								15.20	15.80	16.40	17.00	17.60	18.20	18.80							
09415645	0121	20120121	20130121	2	17.50	3.54	15.00	20.00								15.25	16.00	16.75	17.50	18.25	19.00	19.75							
09415645	0122	20120122	20130122	2	17.00	4.24	14.00	20.00								14.30	15.20	16.10	17.00	17.90	18.80	19.70							
09415645	0123	20120123	20130123	2	17.50	3.54	15.00	20.00								15.25	16.00	16.75	17.50	18.25	19.00	19.75							
09415645	0124	20120124	20130124	2	16.50	3.54	14.00	19.00								14.25	15.00	15.75	16.50	17.25	18.00	18.75							
09415645	0125	20120125	20130125	2	16.50	3.54	14.00	19.00								14.25	15.00	15.75	16.50	17.25	18.00	18.75							
09415645	0126	20120126	20130126	2	17.00	4.24	14.00	20.00								14.30	15.20	16.10	17.00	17.90	18.80	19.70							
09415645	0127	20120127	20130127	2	17.00	4.24	14.00	20.00								14.30	15.20	16.10	17.00	17.90	18.80	19.70							
09415645	0128	20120128	20130128	2	17.00	4.24	14.00	20.00								14.30	15.20	16.10	17.00	17.90	18.80	19.70							
09415645	0129	20120129	20130129	2	17.00	4.24	14.00	20.00								14.30	15.20	16.10	17.00	17.90	18.80	19.70							
09415645	0130	20120130	20130130	2	17.00	4.24	14.00	20.00								14.30	15.20	16.10	17.00	17.90	18.80	19.70							
09415645	0131	20120131	20130131	2	17.00	4.24	14.00	20.00								14.30	15.20	16.10	17.00	17.90	18.80	19.70							
09415645	0201	20120201	20130201	2	17.00	4.24	14.00	20.00								14.30	15.20	16.10	17.00	17.90	18.80	19.70							
09415645	0202	20120202	20130202	2	16.50	3.54	14.00	19.00								14.25	15.00	15.75	16.50	17.25	18.00	18.75							
09415645	0203	20120203	20130203	2	16.00	4.24	13.00	19.00								13.30	14.20	15.10	16.00	16.90	17.80	18.70							
09415645	0204	20120204	20130204	2	16.50	3.54	14.00	19.00								14.25	15.00	15.75	16.50	17.25	18.00	18.75							
09415645	0205	20120205	20130205	2	16.00	4.24	13.00	19.00								13.30	14.20	15.10	16.00	16.90	17.80	18.70							
09415645	0206	20120206	20130206	2	16.00	4.24	13.00	19.00								13.30	14.20	15.10	16.00	16.90	17.80	18.70							
09415645	0207	20120207	20130207	2	16.00	4.24	13.00	19.00								13.30	14.20	15.10	16.00	16.90	17.80	18.70							
09415645	0208	20120208	20130208	2	16.00	4.24	13.00	19.00								13.30	14.20	15.10	16.00	16.90	17.80	18.70							
09415645	0209	20120209	20130209	2	16.00	4.24	13.00	19.00								13.30	14.20	15.10	16.00	16.90	17.80	18.70							
09415645	0210	20120210	20130210	2	16.00	4.24	13.00	19.00								13.30	14.20	15.10	16.00	16.90	17.80	18.70							
09415645	0211	20120211	20130211	2	16.00	4.24	13.00	19.00								13.30	14.20	15.10	16.00	16.90	17.80	18.70							
09415645	0212	20120212	20130212	2	15.50	3.54	13.00	18.00								13.25	14.00	14.75	15.50	16.25	17.00	17.75							
09415645	0213	20120213	20130213	2	15.50	3.54	13.00	18.00								13.25	14.00	14.75	15.50	16.25	17.00	17.75							
09415645	0214	20120214	20130214	2	15.50	3.54	13.00	18.00								13.25	14.00	14.75	15.50	16.25	17.00	17.75							
09415645	0215	20120215	20130215	2	15.50	3.54	13.00	18.00								13.25	14.00	14.75	15.50	16.25	17.00	17.75							
09415645	0216	20120216	20130216	2	15.50	3.54	13.00	18.00								13.25	14.00	14.75	15.50	16.25	17.00	17.75							
09415645	0217	20120217	20130217	2	15.50	3.54	13.00	18.00								13.25	14.00	14.75	15.50	16.25	17.00	17.75							
09415645	0218	20120218	20130218	2	15.50	3.54	13.00	18.00								13.25	14.00	14.75	15.50	16.25	17.00	17.75							
09415645	0219	20120219	20130219	2	16.00	4.24	13.00	19.00								13.30	14.20	15.10	16.00	16.90	17.80	18.70							
09415645	0220	20120220	20130220	2	15.50	3.54	13.00	18.00								13.25	14.00	14.75	15.50	16.25	17.00	17.75							
09415645	0221	20120221	20130221	2	15.50	3.54	13.00	18.00								13.25	14.00	14.75	15.50	16.25	17.00	17.75							
09415645	0222	20120222	20130222	2	15.00	2.83	13.00	17.00								13.20	13.80	14.40	15.00	15.60	16.20	16.80							
09415645	0223	20120223	20130223	2	15.00	2.83	13.00	17.00								13.20	13.80	14.40	15.00	15.60	16.20	16.80							
09415645	0224	20120224	20130224	2	15.00	2.83	13.00	17.00								13.20	13.80	14.40	15.00	15.60	16.20	16.80							
09415645	0225	20120225	20130225	2	15.50	2.12	14.00	17.00								14.15	14.60	15.05	15.50	15.95	16.40	16.85							
09415645	0226	20120226	20130226	2	16.00	2.83	14.00	18.00								14.20	14.80	15.40	16.00	16.60	17.20	17.80							
09415645	0227	20120227	20130227	2	16.00	2.83	14.00	18.00								14.20	14.80	15.40	16.00	16.60	17.20	17.80							
09415645	0228	20120228	20130228	2	15.50	2.12	14.00	17.00								14.15	14.60	15.05	15.50	15.95	16.40	16.85							
09415645	0229	20120229	20120229	1	14.00		14.00	14.00											14.00										
09415645	0301	20120301	20130301	2	15.50	2.12	14.00	17.00								14.15	14.60	15.05	15.50	15.95	16.40	16.85							
09415645	0302	20120302	20130302	2	15.50	2.12	14.00	17.00								14.15	14.60	15.05	15.50	15.95	16.40	16.85							
09415645	0303	20120303	20130303	2	16.50	3.54	14.00	19.00								14.25	15.00	15.75	16.50	17.25	18.00	18.75							
09415645	0304	20120304	20130304	2	16.50	3.54	14.00	19.00								14.25	15.00	15.75	16.50	17.25	18.00	18.75							
09415645	0305	20120305	20130305	2	17.50	2.12	16.00	19.00								16.15	16.60	17.05	17.50	17.95	18.40	18.85							
09415645	0306	20120306	20130306	2	18.00	1.41	17.00	19.00								17.10	17.40	17.70	18.00	18.30	18.60	18.90							
09415645	0307	20120307	20130307	2	18.00	1.41	17.00	19.00								17.10	17.40	17.70	18.00	18.30	18.60	18.90							
09415645	0308	20120308	20130308	2	18.00	1.41	17.00	19.00								17.10	17.40	17.70	18.00	18.30	18.60	18.90							
09415645	0309	20120309	20130309	2	17.50	0.71	17.00	18.00								17.05	17.20	17.35	17.50	17.65	17.80	17.95							
09415645	0310	20120310	20130310	2	18.00		18.00	18.00								18.00	18.00	18.00	18.00	18.00	18.00	18.00							
09415645	0311	20120311	20130311	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0312	20120312	20130312	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0313	20120313	20130313	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0314	20120314	20130314	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0315	20120315	20130315	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0316	20120316	20130316	2	19.00		19.00	19.00								19.00	19.00	19.00	19.00	19.00	19.00	19.00							
09415645	0317	20120317	20130317	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0318	20120318	20130318	2	19.00		19.00	19.00								19.00	19.00	19.00	19.00	19.00	19.00	19.00							
09415645	0319	20120319	20130319	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0320	20120320	20130320	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0321	20120321	20130321	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0322	20120322	20130322	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0323	20120323	20130323	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0324	20120324	20130324	2	18.00	1.41	17.00	19.00								17.10	17.40	17.70	18.00	18.30	18.60	18.90							
09415645	0325	20120325	20130325	2	18.00	1.41	17.00	19.00								17.10	17.40	17.70	18.00	18.30	18.60	18.90							
09415645	0326	20120326	20130326	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0327	20120327	20130327	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0328	20120328	20130328	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0329	20120329	20130329	2	19.50	0.71	19.00	20.00								19.05	19.20	19.35	19.50	19.65	19.80	19.95							
09415645	0330	20120330	20130330	2	18.00		18.00	18.00								18.00	18.00	18.00	18.00	18.00	18.00	18.00							
09415645	0331	20120331	20130331	2	15.50	0.71	15.00	16.00								15.05	15.20	15.35	15.50	15.65	15.80	15.95							
09415645	0401	20120401	20130401	2	17.00	1.41	16.00	18.00								16.10	16.40	16.70	17.00	17.30	17.60	17.90							
09415645	0402	20120402	20130402	2	18.00	2.83	16.00	20.00								16.20	16.80	17.40	18.00	18.60	19.20	19.80							
09415645	0403	20120403	20130403	2	19.00	1.41	18.00	20.00								18.10	18.40	18.70	19.00	19.30	19.60	19.90							
09415645	0404	20120404	20130404	2	18.50	0.71	18.00	19.00								18.05	18.20	18.35	18.50	18.65	18.80	18.95							
09415645	0405	20120405	20130405	2	19.00	1.41	18.00	20.00								18.10	18.40	18.70	19.00	19.30	19.60	19.90							
09415645	0406	20120406	20130406	2	19.00	1.41	18.00	20.00								18.10	18.40	18.70	19.00	19.30	19.60	19.90							
09415645	0407	20120407	20130407	2	19.00	1.41	18.00	20.00								18.10	18.40	18.70	19.00	19.30	19.60	19.90							
