site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p90	p95	p99
04157000	ALL	19040311	20110930	8494	8225.14	8757.05	25.00	67800.00	559.50	1000.00	1300.00	1610.00	1930.00	2240.00	2550.00	2952.50	3350.00	3830.00	4445.00	5310.00	6370.00	7860.00	10000.00	11800.00	13900.00	20200.00	26200.00	39805.00
04157000	0101	19430101	20110101	23	8373.04	8134.28	950.00	25100.00		1014.00	1362.00	1554.00	1646.00	2000.00	2548.00	2900.00	3260.00	4668.00	5160.00	5682.00	6254.00	6464.00	11304.00	15400.00	17880.00	22580.00	24620.00	
04157000	0102	19430102	20110102	22	8503.64	8508.17	1000.00	28800.00		1064.50	1481.00	1667.50	1894.00	2522.50	2736.00	2900.50	3170.00	3576.00	4005.00	4648.50	5754.00	8240.50	11760.00	15375.00	18140.00	22950.00	28035.00	
04157000	0103	19430103	20110103	22	8424.09	7938.85	1700.00	31300.00		1704.50	1811.00	2013.50	2456.00	2800.00	2982.00	3105.00	3376.00	4125.50	4645.00	5158.00	5864.00	9716.00	11500.00	14550.00	16440.00	19350.00	29530.00	
04157000	0104	19430104	20110104	22	8305.91	7167.71	1410.00	31700.00		1542.00	2383.00	2600.00	2876.00	3195.00	3294.00	3622.00	4102.00	4805.00	6115.00	6918.00	7476.00	9726.50	10970.00	11825.00	13140.00	17730.00	29690.00	
04157000	0105	19430105	20110105	22	8143.64	6792.38	1300.00	26600.00		1385.50	1999.00	2390.00	2500.00	2950.00	3127.00	3205.00	3358.00	4444.00	6695.00	7886.50	8650.00	9311.50	10010.00	10525.00	13880.00	18760.00	25460.00	
04157000	0106	19430106	20110106	21	8043.33	7129.44	1600.00	25600.00		1640.00	2000.00	2036.00	2152.00	2500.00	2974.00	3118.00	3266.00	5298.00	6100.00	6984.00	7496.00	8995.00	9830.00	10590.00	12820.00	23300.00	25530.00	
04157000	0107	19460107	20110107	21	7960.48	6912.21	1550.00	25800.00		1575.00	1820.00	1930.00	2200.00	2660.00	2940.00	3349.00	4370.00	6228.00	6460.00	6845.00	7468.00	8781.00	9818.00	10165.00	11100.00	22800.00	25660.00	
04157000	0108	19460108	20110108	21	7913.81	6679.54	1500.00	23900.00		1510.00	1614.00	1814.00	2290.00	2650.00	2854.00	3177.00	3900.00	6363.00	6780.00	6921.00	7508.00	9469.00	9514.00	9775.00	11620.00	21340.00	23690.00	
04157000	0109	19460109	20110109	20	7329.00	6446.27	1300.00	22100.00		1305.00	1426.00	1679.50	1834.00	2180.00	2723.00	2905.00	3332.00	4436.00	5415.00	5574.50	6488.00	7339.00	8774.00	12230.00	14000.00	19470.00	21985.00	
04157000	0110	19460110	20110110	20	7218.50	6129.16	1260.00	20400.00		1276.50	1601.00	1805.00	2404.00	2432.50	2629.00	3070.00	3272.00	4230.50	5505.00	5883.00	6048.00	6723.50	9044.00	11847.50	13620.00	18810.00	20330.00	
04157000	0111	19460111	20110111	20	6702.50	5580.16	1070.00	22200.00		1116.50	2014.00	2164.00	2328.00	2492.50	2710.00	2937.50	3100.00	3761.50	4785.00	5214.50	6134.00	7384.00	8721.00	10305.00	11740.00	14740.00	21830.00	
