site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
08068275	ALL	19991001	20151230	5935	104.06	460.87	0.00	11800.00	0.00	0.00	0.00	0.09	0.46	1.20	2.30	3.50	5.10	6.70	9.00	11.00	15.00	19.00	24.00	32.00	44.00	66.00	136.40	480.40	1990.00
08068275	0101	20000101	20150101	16	159.36	493.46	0.00	1990.00			0.01	0.55	0.99	1.05	1.28	1.96	4.80	9.07	15.00	19.70	21.80	25.55	34.90	51.00	76.40	180.45	800.70		
08068275	0102	20000102	20150102	16	98.45	315.92	0.00	1280.00			0.01	0.41	0.76	0.88	1.19	1.96	4.08	8.76	13.00	17.10	21.80	25.25	29.50	48.75	56.80	63.85	433.70		
08068275	0103	20000103	20150103	16	39.48	71.96	0.00	271.00			0.01	0.26	0.55	0.81	1.29	2.06	3.78	7.97	12.00	16.80	22.20	23.85	38.30	43.75	48.60	94.20	184.20		
08068275	0104	20000104	20150104	16	68.21	141.06	0.00	484.00			0.01	0.35	0.68	0.93	1.42	1.59	3.76	7.81	11.35	15.80	21.20	22.55	31.90	37.50	82.20	218.55	390.20		
08068275	0105	20000105	20150105	16	110.13	324.02	0.00	1310.00			0.00	0.29	0.65	1.05	1.91	3.69	4.60	7.14	10.20	15.85	24.00	28.20	31.60	47.00	71.20	136.65	533.70		
08068275	0106	20000106	20150106	16	72.74	163.19	0.00	620.00			0.00	0.19	0.92	1.88	2.32	4.19	5.10	8.36	10.00	14.90	24.20	25.15	27.70	57.25	68.20	171.60	393.90		
08068275	0107	20000107	20150107	16	34.58	55.62	0.00	172.00			0.00	0.15	0.96	2.08	2.62	5.34	5.50	7.58	13.85	20.40	23.20	24.05	24.90	34.75	50.00	108.40	170.60		
08068275	0108	20000108	20150108	16	38.21	81.36	0.00	333.00			0.00	0.15	0.65	1.68	3.37	5.67	9.16	13.25	16.00	18.75	22.40	24.05	24.90	25.75	40.40	63.05	155.20		
08068275	0109	20000109	20150109	16	37.66	41.35	0.00	139.00			1.89	4.46	8.74	13.00	13.60	18.70	19.00	19.65	20.50	21.35	22.20	24.20	44.60	52.25	78.00	101.20	118.70		
08068275	0110	20000110	20150110	16	141.93	276.85	0.00	1000.00			1.75	4.59	8.18	11.25	12.20	13.90	18.80	21.30	27.50	36.85	44.00	44.30	49.40	56.75	278.00	471.25	670.30		
08068275	0111	20000111	20150111	16	153.05	263.15	0.00	865.00			2.03	4.38	7.08	9.72	11.90	19.55	20.80	22.30	30.50	38.70	40.60	43.40	50.20	186.00	374.40	536.60	692.10		
08068275	0112	20000112	20150112	16	88.46	170.54	0.00	688.00			2.52	4.48	6.16	8.20	10.20	11.90	17.60	19.65	27.00	34.35	38.20	51.55	60.90	104.00	128.80	171.10	356.20		
08068275	0113	20000113	20150113	16	72.74	115.09	0.00	412.00			2.52	4.32	5.58	6.75	7.44	9.48	17.12	26.15	30.50	33.80	39.00	39.55	48.90	75.50	126.60	208.10	314.70		
08068275	0114	20000114	20150114	16	98.65	165.29	0.00	531.00			2.52	4.70	5.60	5.78	6.60	9.15	17.06	21.60	25.50	31.50	38.60	41.50	50.00	84.00	221.00	355.40	451.20		
08068275	0115	20000115	20150115	16	143.07	443.47	0.00	1800.00			2.87	4.38	4.88	5.58	6.74	9.63	13.96	18.90	23.00	26.75	30.40	32.20	35.60	66.00	79.00	108.90	640.10		
08068275	0116	20000116	20150116	16	163.79	538.25	0.00	2180.00			3.08	5.55	6.58	7.78	11.80	18.60	23.00	24.65	25.50	26.35	28.00	32.65	43.70	49.50	61.80	80.25	719.80		
