site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
05418400	ALL	19980429	20151112	6407	456.24	770.56	44.00	20200.00	90.00	135.40	163.00	181.00	197.00	209.00	222.00	237.00	255.00	272.00	294.00	319.40	350.00	377.00	417.00	472.00	537.00	625.00	776.00	1146.00	2838.40
05418400	0101	19990101	20150101	17	250.41	179.84	72.00	689.00			94.40	107.00	129.20	145.00	148.40	156.80	177.60	190.60	214.00	214.90	219.80	229.40	239.60	269.50	329.00	470.60	683.40		
05418400	0102	19990102	20150102	17	234.29	150.65	80.00	620.00			104.00	111.40	122.80	138.50	151.40	164.00	179.80	188.90	206.00	211.40	214.40	219.20	221.60	242.00	297.60	417.30	581.60		
05418400	0103	19990103	20150103	17	228.53	138.54	84.00	599.00			104.80	117.00	131.40	139.00	142.20	156.30	178.00	179.80	196.00	208.60	218.00	222.80	224.60	246.50	294.80	388.40	530.20		
05418400	0104	19990104	20150104	17	218.94	135.85	80.00	591.00			88.00	92.10	103.20	129.50	151.80	163.50	181.60	184.20	186.00	194.10	203.00	213.40	217.00	240.00	289.80	373.50	498.20		
05418400	0105	19990105	20150105	17	216.24	131.19	65.00	579.00			89.80	98.80	107.20	132.00	159.20	170.30	171.80	175.80	183.00	187.50	200.80	211.00	218.20	240.00	292.20	372.90	471.80		
05418400	0106	19990106	20150106	17	221.18	131.21	70.00	568.00			82.00	95.50	105.40	128.50	151.60	159.10	166.80	178.10	179.00	203.30	214.00	221.60	239.00	294.00	343.80	370.80	447.20		
05418400	0107	19990107	20150107	17	251.59	205.27	60.00	890.00			88.00	95.70	118.20	140.00	147.80	149.00	154.20	175.90	184.00	207.40	211.60	227.40	236.40	304.00	376.00	434.50	618.00		
05418400	0108	19990108	20150108	17	299.59	376.30	70.00	1690.00			86.00	104.00	131.00	146.50	148.40	150.50	156.00	168.80	212.00	212.90	222.60	229.90	238.00	298.00	356.40	412.50	766.00		
05418400	0109	19990109	20150109	17	263.53	240.29	85.00	1090.00			85.80	92.30	122.00	143.50	149.40	155.10	161.40	171.50	212.00	212.90	225.80	235.30	250.00	296.50	339.40	400.00	638.80		
