site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p90	p95	p99
12214350	ALL	20110101	20110930	273	37.35	39.27	6.10	258.00	6.37	7.07	7.70	8.41	9.96	12.00	14.00	15.00	17.00	21.00	23.00	26.00	30.00	33.10	38.00	43.50	54.20	90.00	126.20	195.32
12214350	0101	20110101	20110101	1	110.00		110.00	110.00											110.00									
12214350	0102	20110102	20110102	1	98.00		98.00	98.00											98.00									
12214350	0103	20110103	20110103	1	90.00		90.00	90.00											90.00									
12214350	0104	20110104	20110104	1	90.00		90.00	90.00											90.00									
12214350	0105	20110105	20110105	1	120.00		120.00	120.00											120.00									
12214350	0106	20110106	20110106	1	140.00		140.00	140.00											140.00									
12214350	0107	20110107	20110107	1	160.00		160.00	160.00											160.00									
12214350	0108	20110108	20110108	1	140.00		140.00	140.00											140.00									
12214350	0109	20110109	20110109	1	120.00		120.00	120.00											120.00									
12214350	0110	20110110	20110110	1	110.00		110.00	110.00											110.00									
12214350	0111	20110111	20110111	1	100.00		100.00	100.00											100.00									
12214350	0112	20110112	20110112	1	100.00		100.00	100.00											100.00									
12214350	0113	20110113	20110113	1	140.00		140.00	140.00											140.00									
12214350	0114	20110114	20110114	1	187.00		187.00	187.00											187.00									
12214350	0115	20110115	20110115	1	129.00		129.00	129.00											129.00									
12214350	0116	20110116	20110116	1	219.00		219.00	219.00											219.00									
12214350	0117	20110117	20110117	1	258.00		258.00	258.00											258.00									
12214350	0118	20110118	20110118	1	154.00		154.00	154.00											154.00									
12214350	0119	20110119	20110119	1	97.00		97.00	97.00											97.00									
12214350	0120	20110120	20110120	1	75.00		75.00	75.00											75.00									
12214350	0121	20110121	20110121	1	124.00		124.00	124.00											124.00									
12214350	0122	20110122	20110122	1	125.00		125.00	125.00											125.00									
12214350	0123	20110123	20110123	1	84.00		84.00	84.00											84.00									
12214350	0124	20110124	20110124	1	113.00		113.00	113.00											113.00									
12214350	0125	20110125	20110125	1	135.00		135.00	135.00											135.00									
12214350	0126	20110126	20110126	1	90.00		90.00	90.00											90.00									
12214350	0127	20110127	20110127	1	68.00		68.00	68.00											68.00									
12214350	0128	20110128	20110128	1	62.00		62.00	62.00											62.00									
12214350	0129	20110129	20110129	1	77.00		77.00	77.00											77.00									
12214350	0130	20110130	20110130	1	77.00		77.00	77.00											77.00									
12214350	0131	20110131	20110131	1	57.00		57.00	57.00											57.00									
12214350	0201	20110201	20110201	1	48.00		48.00	48.00											48.00									
12214350	0202	20110202	20110202	1	42.00		42.00	42.00											42.00									
12214350	0203	20110203	20110203	1	44.00		44.00	44.00											44.00									
12214350	0204	20110204	20110204	1	95.00		95.00	95.00											95.00									
12214350	0205	20110205	20110205	1	77.00		77.00	77.00											77.00									
12214350	0206	20110206	20110206	1	64.00		64.00	64.00											64.00									
12214350	0207	20110207	20110207	1	75.00		75.00	75.00											75.00									
12214350	0208	20110208	20110208	1	55.00		55.00	55.00											55.00									
12214350	0209	20110209	20110209	1	45.00		45.00	45.00											45.00									
12214350	0210	20110210	20110210	1	40.00		40.00	40.00											40.00									
12214350	0211	20110211	20110211	1	38.00		38.00	38.00											38.00									
12214350	0212	20110212	20110212	1	39.00		39.00	39.00											39.00									
12214350	0213	20110213	20110213	1	41.00		41.00	41.00											41.00									
12214350	0214	20110214	20110214	1	40.00		40.00	40.00											40.00									
12214350	0215	20110215	20110215	1	38.00		38.00	38.00											38.00									
12214350	0216	20110216	20110216	1	35.00		35.00	35.00											35.00									
12214350	0217	20110217	20110217	1	33.00		33.00	33.00											33.00									
12214350	0218	20110218	20110218	1	30.00		30.00	30.00											30.00									
12214350	0219	20110219	20110219	1	26.00		26.00	26.00											26.00									
12214350	0220	20110220	20110220	1	24.00		24.00	24.00											24.00									
12214350	0221	20110221	20110221	1	24.00		24.00	24.00											24.00									
12214350	0222	20110222	20110222	1	25.00		25.00	25.00											25.00									
12214350	0223	20110223	20110223	1	23.00		23.00	23.00											23.00									
12214350	0224	20110224	20110224	1	20.00		20.00	20.00											20.00									
12214350	0225	20110225	20110225	1	17.00		17.00	17.00											17.00									
12214350	0226	20110226	20110226	1	17.00		17.00	17.00											17.00									
12214350	0227	20110227	20110227	1	19.00		19.00	19.00											19.00									
12214350	0228	20110228	20110228	1	22.00		22.00	22.00											22.00									
12214350	0301	20110301	20110301	1	21.00		21.00	21.00											21.00									
12214350	0302	20110302	20110302	1	23.00		23.00	23.00											23.00									
12214350	0303	20110303	20110303	1	27.00		27.00	27.00											27.00									
12214350	0304	20110304	20110304	1	23.00		23.00	23.00											23.00									
