site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
10642505	ALL	20090918	20151117	2252																									
10642505	101	20100101	20150101	6																									
10642505	102	20100102	20150102	6																									
10642505	103	20100103	20150103	6																									
10642505	104	20100104	20150104	6																									
10642505	105	20100105	20150105	6																									
10642505	106	20100106	20150106	6																									
10642505	107	20100107	20150107	6																									
10642505	108	20100108	20150108	6																									
10642505	109	20100109	20150109	6																									
10642505	110	20100110	20150110	6																									
10642505	111	20100111	20150111	6																									
10642505	112	20100112	20150112	6																									
10642505	113	20100113	20150113	6																									
10642505	114	20100114	20150114	6																									
10642505	115	20100115	20150115	6																									
10642505	116	20100116	20150116	6																									
10642505	117	20100117	20150117	6																									
10642505	118	20100118	20150118	6																									
10642505	119	20100119	20150119	6																									
10642505	120	20100120	20150120	6																									
10642505	121	20100121	20150121	6																									
10642505	122	20100122	20150122	6																									
10642505	123	20100123	20150123	6																									
10642505	124	20100124	20150124	6																									
10642505	125	20100125	20150125	6																									
10642505	126	20100126	20150126	6																									
10642505	127	20100127	20150127	6																									
10642505	128	20100128	20150128	6																									
10642505	129	20100129	20150129	6																									
10642505	130	20100130	20150130	6																									
10642505	131	20100131	20150131	6																									
10642505	201	20100201	20150201	6																									
10642505	202	20100202	20150202	6																									
10642505	203	20100203	20150203	6																									
10642505	204	20100204	20150204	6																									
10642505	205	20100205	20150205	6																									
10642505	206	20100206	20150206	6																									
10642505	207	20100207	20150207	6																									
10642505	208	20100208	20150208	6																									
10642505	209	20100209	20150209	6																									
10642505	210	20100210	20150210	6																									
10642505	211	20100211	20150211	6																									
10642505	212	20100212	20150212	6																									
10642505	213	20100213	20150213	6																									
10642505	214	20100214	20150214	6																									
10642505	215	20100215	20150215	6																									
10642505	216	20100216	20150216	6																									
10642505	217	20100217	20150217	6																									
10642505	218	20100218	20150218	6																									
10642505	219	20100219	20150219	6																									
10642505	220	20100220	20150220	6																									
10642505	221	20100221	20150221	6																									
10642505	222	20100222	20150222	6																									
10642505	223	20100223	20150223	6																									
10642505	224	20100224	20150224	6																									
10642505	225	20100225	20150225	6																									
10642505	226	20100226	20150226	6																									
10642505	227	20100227	20150227	6																									
10642505	228	20100228	20150228	6																									
10642505	229	20120229	20120229	1																									
10642505	301	20100301	20150301	6																									
10642505	302	20100302	20150302	6																									
10642505	303	20100303	20150303	6																									
10642505	304	20100304	20150304	6																									
10642505	305	20100305	20150305	6																									
10642505	306	20100306	20150306	6																									
10642505	307	20100307	20150307	6																									
10642505	308	20100308	20150308	6																									
10642505	309	20100309	20150309	6																									
10642505	310	20100310	20150310	6																									
10642505	311	20100311	20150311	6																									
10642505	312	20100312	20150312	6																									
10642505	313	20100313	20150313	6																									
10642505	314	20100314	20150314	6																									
10642505	315	20100315	20150315	6																									
10642505	316	20100316	20150316	6																									
10642505	317	20100317	20150317	6																									
10642505	318	20100318	20150318	6																									
10642505	319	20100319	20150319	6																									
10642505	320	20100320	20150320	6																									
10642505	321	20100321	20150321	6																									
10642505	322	20100322	20150322	6																									
10642505	323	20100323	20150323	6																									
10642505	324	20100324	20150324	6																									
10642505	325	20100325	20150325	6																									
10642505	326	20100326	20150326	6																									
10642505	327	20100327	20150327	6																									
10642505	328	20100328	20150328	6																									
10642505	329	20100329	20150329	6																									
10642505	330	20100330	20150330	6																									
10642505	331	20100331	20150331	6																									
10642505	401	20100401	20150401	6																									
10642505	402	20100402	20150402	6																									
10642505	403	20100403	20150403	6																									
10642505	404	20100404	20150404	6																									
10642505	405	20100405	20150405	6																									
10642505	406	20100406	20150406	6																									
10642505	407	20100407	20150407	6																									
10642505	408	20100408	20150408	6																									
10642505	409	20100409	20150409	6																									
10642505	410	20100410	20150410	6																									
10642505	411	20100411	20150411	6																									
10642505	412	20100412	20150412	6																									
10642505	413	20100413	20150413	6																									
10642505	414	20100414	20150414	6																									
10642505	415	20100415	20150415	6																									
10642505	416	20100416	20150416	6																									
10642505	417	20100417	20150417	6																									
10642505	418	20100418	20150418	6																									
10642505	419	20100419	20150419	6																									
10642505	420	20100420	20150420	6																									
10642505	421	20100421	20150421	6																									
10642505	422	20100422	20150422	6																									
10642505	423	20100423	20150423	6																									
10642505	424	20100424	20150424	6																									
10642505	425	20100425	20150425	6																									
10642505	426	20100426	20150426	6																									
10642505	427	20100427	20150427	6																									
10642505	428	20100428	20150428	6																									
10642505	429	20100429	20150429	6																									
10642505	430	20100430	20150430	6																									
10642505	501	20100501	20150501	6																									
10642505	502	20100502	20150502	6																									
10642505	503	20100503	20150503	6																									
10642505	504	20100504	20150504	6																									
10642505	505	20100505	20150505	6																									
10642505	506	20100506	20150506	6																									
10642505	507	20100507	20150507	6																									
10642505	508	20100508	20150508	6																									
10642505	509	20100509	20150509	6																									
10642505	510	20100510	20150510	6																									
10642505	511	20100511	20150511	6																									
10642505	512	20100512	20150512	6																									
10642505	513	20100513	20150513	6																									
10642505	514	20100514	20150514	6																									
10642505	515	20100515	20150515	6																									
10642505	516	20100516	20150516	6																									
10642505	517	20100517	20150517	6																									
10642505	518	20100518	20150518	6																									
10642505	519	20100519	20150519	6																									
10642505	520	20100520	20150520	6																									
10642505	521	20100521	20150521	6																									
10642505	522	20100522	20150522	6																									
10642505	523	20100523	20150523	6																									
10642505	524	20100524	20150524	6																									
10642505	525	20100525	20150525	6																									
10642505	526	20100526	20150526	6																									
10642505	527	20100527	20150527	6																									
10642505	528	20100528	20150528	6																									
10642505	529	20100529	20150529	6																									
10642505	530	20100530	20150530	6																									
10642505	531	20100531	20150531	6																									
10642505	601	20100601	20150601	6																									
10642505	602	20100602	20150602	6																									
10642505	603	20100603	20150603	6																									
10642505	604	20100604	20150604	6																									
10642505	605	20100605	20150605	6																									
10642505	606	20100606	20150606	6																									
10642505	607	20100607	20150607	6																									
10642505	608	20100608	20150608	6																									
10642505	609	20100609	20150609	6																									
10642505	610	20100610	20150610	6																									
10642505	611	20100611	20150611	6																									
10642505	612	20100612	20150612	6																									
10642505	613	20100613	20150613	6																									
10642505	614	20100614	20150614	6																									
10642505	615	20100615	20150615	6																									
10642505	616	20100616	20150616	6																									
10642505	617	20100617	20150617	6																									
10642505	618	20100618	20150618	6																									
10642505	619	20100619	20150619	6																									
10642505	620	20100620	20150620	6																									
10642505	621	20100621	20150621	6																									
10642505	622	20100622	20150622	6																									
10642505	623	20100623	20150623	6																									
10642505	624	20100624	20150624	6																									
10642505	625	20100625	20150625	6																									
10642505	626	20100626	20150626	6																									
10642505	627	20100627	20150627	6																									
10642505	628	20100628	20150628	6																									
10642505	629	20100629	20150629	6																									
10642505	630	20100630	20150630	6																									
10642505	701	20100701	20150701	6																									
10642505	702	20100702	20150702	6																									
10642505	703	20100703	20150703	6																									
10642505	704	20100704	20150704	6																									
10642505	705	20100705	20150705	6																									
10642505	706	20100706	20150706	6																									
10642505	707	20100707	20150707	6																									
10642505	708	20100708	20150708	6																									
10642505	709	20100709	20150709	6																									
10642505	710	20100710	20150710	6																									
10642505	711	20100711	20150711	6																									
10642505	712	20100712	20150712	6																									
10642505	713	20100713	20150713	6																									
10642505	714	20100714	20150714	6																									
10642505	715	20100715	20150715	6																									
10642505	716	20100716	20150716	6																									
10642505	717	20100717	20150717	6																									
10642505	718	20100718	20150718	6																									
10642505	719	20100719	20150719	6																									
10642505	720	20100720	20150720	6																									
10642505	721	20100721	20150721	6																									
10642505	722	20100722	20150722	6																									
10642505	723	20100723	20150723	6																									
10642505	724	20100724	20150724	6																									
10642505	725	20100725	20150725	6																									
10642505	726	20100726	20150726	6																									
10642505	727	20100727	20150727	6																									
10642505	728	20100728	20150728	6																									
10642505	729	20100729	20150729	6																									
10642505	730	20100730	20150730	6																									
10642505	731	20100731	20150731	6																									
10642505	801	20100801	20150801	6																									
10642505	802	20100802	20150802	6																									
10642505	803	20100803	20150803	6																									
10642505	804	20100804	20150804	6																									
10642505	805	20100805	20150805	6																									
10642505	806	20100806	20150806	6																									
10642505	807	20100807	20150807	6																									
10642505	808	20100808	20150808	6																									
10642505	809	20100809	20150809	6																									
10642505	810	20100810	20150810	6																									
10642505	811	20100811	20150811	6																									
10642505	812	20100812	20150812	6																									
10642505	813	20100813	20150813	6																									
10642505	814	20100814	20150814	6																									
10642505	815	20100815	20150815	6																									
10642505	816	20100816	20150816	6																									
10642505	817	20100817	20150817	6																									
10642505	818	20100818	20150818	6																									
10642505	819	20100819	20150819	6																									
10642505	820	20100820	20150820	6																									
10642505	821	20100821	20150821	6																									
10642505	822	20100822	20150822	6																									
10642505	823	20100823	20150823	6																									
10642505	824	20100824	20150824	6																									
10642505	825	20100825	20150825	6																									
10642505	826	20100826	20150826	6																									
10642505	827	20100827	20150827	6																									
10642505	828	20100828	20150828	6																									
10642505	829	20100829	20150829	6																									
10642505	830	20100830	20150830	6																									
10642505	831	20100831	20150831	6																									
10642505	901	20100901	20150901	6																									
10642505	902	20100902	20150902	6																									
10642505	903	20100903	20150903	6																									
10642505	904	20100904	20150904	6																									
10642505	905	20100905	20150905	6																									
10642505	906	20100906	20150906	6																									
10642505	907	20100907	20150907	6																									
10642505	908	20100908	20150908	6																									
10642505	909	20100909	20150909	6																									
10642505	910	20100910	20150910	6																									
10642505	911	20100911	20150911	6																									
10642505	912	20100912	20150912	6																									
10642505	913	20100913	20150913	6																									
10642505	914	20100914	20150914	6																									
10642505	915	20100915	20150915	6																									
10642505	916	20100916	20150916	6																									
10642505	917	20100917	20150917	6																									
10642505	918	20090918	20150918	7																									
10642505	919	20090919	20150919	7																									
10642505	920	20090920	20150920	7																									
10642505	921	20090921	20150921	7																									
10642505	922	20090922	20150922	7																									
10642505	923	20090923	20150923	7																									
10642505	924	20090924	20150924	7																									
10642505	925	20090925	20150925	7																									
10642505	926	20090926	20150926	7																									
10642505	927	20090927	20150927	7																									
10642505	928	20090928	20150928	7																									
10642505	929	20090929	20150929	7																									
10642505	930	20090930	20150930	7																									
10642505	1001	20091001	20151001	7																									
10642505	1002	20091002	20151002	7																									
10642505	1003	20091003	20151003	7																									
10642505	1004	20091004	20151004	7																									
10642505	1005	20091005	20151005	7																									
10642505	1006	20091006	20151006	7																									
10642505	1007	20091007	20151007	7																									
10642505	1008	20091008	20151008	7																									
10642505	1009	20091009	20151009	7																									
10642505	1010	20091010	20151010	7																									
10642505	1011	20091011	20151011	7																									
10642505	1012	20091012	20151012	7																									
10642505	1013	20091013	20151013	7																									
10642505	1014	20091014	20151014	7																									
10642505	1015	20091015	20151015	7																									
10642505	1016	20091016	20151016	7																									
10642505	1017	20091017	20151017	7																									
10642505	1018	20091018	20151018	7																									
10642505	1019	20091019	20151019	7																									
10642505	1020	20091020	20151020	7																									
10642505	1021	20091021	20151021	7																									
10642505	1022	20091022	20151022	7																									
10642505	1023	20091023	20151023	7																									
10642505	1024	20091024	20151024	7																									
10642505	1025	20091025	20151025	7																									
10642505	1026	20091026	20151026	7																									
10642505	1027	20091027	20151027	7																									
10642505	1028	20091028	20151028	7																									
10642505	1029	20091029	20151029	7																									
10642505	1030	20091030	20151030	7																									
10642505	1031	20091031	20151031	7																									
10642505	1101	20091101	20151101	7																									
10642505	1102	20091102	20151102	7																									
10642505	1103	20091103	20151103	7																									
10642505	1104	20091104	20151104	7																									
10642505	1105	20091105	20151105	7																									
10642505	1106	20091106	20151106	7																									
10642505	1107	20091107	20151107	7																									
10642505	1108	20091108	20151108	7																									
10642505	1109	20091109	20151109	7																									
10642505	1110	20091110	20151110	7																									
10642505	1111	20091111	20151111	7																									
10642505	1112	20091112	20151112	7																									
10642505	1113	20091113	20151113	7																									
10642505	1114	20091114	20151114	7																									
10642505	1115	20091115	20151115	7																									
10642505	1116	20091116	20151116	7																									
10642505	1117	20091117	20151117	7																									
10642505	1118	20091118	20141118	6																									
10642505	1119	20091119	20141119	6																									
10642505	1120	20091120	20141120	6																									
10642505	1121	20091121	20141121	6																									
10642505	1122	20091122	20141122	6																									
10642505	1123	20091123	20141123	6																									
10642505	1124	20091124	20141124	6																									
10642505	1125	20091125	20141125	6																									
10642505	1126	20091126	20141126	6																									
10642505	1127	20091127	20141127	6																									
10642505	1128	20091128	20141128	6																									
10642505	1129	20091129	20141129	6																									
10642505	1130	20091130	20141130	6																									
10642505	1201	20091201	20141201	6																									
10642505	1202	20091202	20141202	6																									
10642505	1203	20091203	20141203	6																									
10642505	1204	20091204	20141204	6																									
10642505	1205	20091205	20141205	6																									
10642505	1206	20091206	20141206	6																									
10642505	1207	20091207	20141207	6																									
10642505	1208	20091208	20141208	6																									
10642505	1209	20091209	20141209	6																									
10642505	1210	20091210	20141210	6																									
10642505	1211	20091211	20141211	6																									
10642505	1212	20091212	20141212	6																									
10642505	1213	20091213	20141213	6																									
10642505	1214	20091214	20141214	6																									
10642505	1215	20091215	20141215	6																									
10642505	1216	20091216	20141216	6																									
10642505	1217	20091217	20141217	6																									
10642505	1218	20091218	20141218	6																									
10642505	1219	20091219	20141219	6																									
10642505	1220	20091220	20141220	6																									
10642505	1221	20091221	20141221	6																									
10642505	1222	20091222	20141222	6																									
10642505	1223	20091223	20141223	6																									
10642505	1224	20091224	20141224	6																									
10642505	1225	20091225	20141225	6																									
10642505	1226	20091226	20141226	6																									
10642505	1227	20091227	20141227	6																									
10642505	1228	20091228	20141228	6																									
10642505	1229	20091229	20141229	6																									
10642505	1230	20091230	20141230	6																									
10642505	1231	20091231	20141231	6																									
